playlist_genre,year,num_songs
edm,1977,1
edm,1978,1
edm,1979,2
edm,1980,1
edm,1981,1
edm,1982,2
edm,1983,1
edm,1990,1
edm,1991,1
edm,1993,1
edm,1994,1
edm,1995,1
edm,1996,1
edm,1998,1
edm,1999,3
edm,2000,4
edm,2001,3
edm,2002,4
edm,2003,5
edm,2004,3
edm,2005,8
edm,2006,16
edm,2007,29
edm,2008,43
edm,2009,45
edm,2010,37
edm,2011,74
edm,2012,170
edm,2013,313
edm,2014,564
edm,2015,462
edm,2016,498
edm,2017,486
edm,2018,755
edm,2019,2321
edm,2020,184
latin,1965,1
latin,1976,1
latin,1979,3
latin,1981,1
latin,1982,4
latin,1983,2
latin,1984,2
latin,1985,6
latin,1986,5
latin,1987,9
latin,1988,16
latin,1989,11
latin,1990,17
latin,1991,12
latin,1992,3
latin,1993,13
latin,1994,11
latin,1995,18
latin,1996,13
latin,1997,23
latin,1998,21
latin,1999,26
latin,2000,14
latin,2001,26
latin,2002,19
latin,2003,47
latin,2004,76
latin,2005,69
latin,2006,92
latin,2007,101
latin,2008,119
latin,2009,118
latin,2010,126
latin,2011,84
latin,2012,131
latin,2013,123
latin,2014,165
latin,2015,277
latin,2016,375
latin,2017,396
latin,2018,567
latin,2019,1879
latin,2020,131
pop,1969,1
pop,1970,1
pop,1973,1
pop,1974,1
pop,1975,1
pop,1976,2
pop,1977,1
pop,1978,7
pop,1979,4
pop,1980,6
pop,1981,14
pop,1982,8
pop,1983,13
pop,1984,19
pop,1985,9
pop,1986,11
pop,1987,21
pop,1988,9
pop,1989,10
pop,1990,16
pop,1991,7
pop,1992,6
pop,1993,7
pop,1994,15
pop,1995,13
pop,1996,17
pop,1997,12
pop,1998,13
pop,1999,18
pop,2000,9
pop,2001,33
pop,2002,23
pop,2003,28
pop,2004,24
pop,2005,22
pop,2006,50
pop,2007,50
pop,2008,112
pop,2009,95
pop,2010,173
pop,2011,144
pop,2012,176
pop,2013,227
pop,2014,316
pop,2015,479
pop,2016,531
pop,2017,505
pop,2018,704
pop,2019,1373
pop,2020,170
r&b,1957,1
r&b,1960,4
r&b,1961,1
r&b,1962,1
r&b,1963,1
r&b,1964,1
r&b,1965,3
r&b,1966,3
r&b,1967,5
r&b,1968,2
r&b,1969,4
r&b,1970,7
r&b,1971,4
r&b,1972,5
r&b,1973,5
r&b,1974,10
r&b,1975,8
r&b,1976,9
r&b,1977,3
r&b,1978,5
r&b,1979,5
r&b,1980,5
r&b,1981,3
r&b,1982,5
r&b,1983,7
r&b,1984,10
r&b,1985,15
r&b,1986,28
r&b,1987,31
r&b,1988,62
r&b,1989,47
r&b,1990,77
r&b,1991,84
r&b,1992,97
r&b,1993,80
r&b,1994,72
r&b,1995,64
r&b,1996,89
r&b,1997,89
r&b,1998,65
r&b,1999,75
r&b,2000,101
r&b,2001,97
r&b,2002,100
r&b,2003,103
r&b,2004,93
r&b,2005,107
r&b,2006,85
r&b,2007,87
r&b,2008,131
r&b,2009,69
r&b,2010,85
r&b,2011,125
r&b,2012,127
r&b,2013,116
r&b,2014,199
r&b,2015,247
r&b,2016,351
r&b,2017,464
r&b,2018,452
r&b,2019,1107
r&b,2020,93
rap,1967,1
rap,1968,2
rap,1969,1
rap,1970,2
rap,1971,1
rap,1972,1
rap,1973,1
rap,1974,2
rap,1976,1
rap,1978,1
rap,1981,2
rap,1982,2
rap,1983,1
rap,1984,1
rap,1985,3
rap,1986,2
rap,1987,8
rap,1988,35
rap,1989,5
rap,1990,14
rap,1991,25
rap,1992,41
rap,1993,72
rap,1994,80
rap,1995,75
rap,1996,95
rap,1997,49
rap,1998,111
rap,1999,89
rap,2000,54
rap,2001,59
rap,2002,54
rap,2003,98
rap,2004,90
rap,2005,126
rap,2006,101
rap,2007,88
rap,2008,75
rap,2009,58
rap,2010,74
rap,2011,80
rap,2012,116
rap,2013,93
rap,2014,175
rap,2015,235
rap,2016,295
rap,2017,461
rap,2018,705
rap,2019,1824
rap,2020,159
rock,1957,1
rock,1958,1
rock,1962,1
rock,1963,4
rock,1964,8
rock,1965,8
rock,1966,16
rock,1967,35
rock,1968,19
rock,1969,50
rock,1970,72
rock,1971,66
rock,1972,68
rock,1973,97
rock,1974,67
rock,1975,99
rock,1976,120
rock,1977,95
rock,1978,116
rock,1979,70
rock,1980,85
rock,1981,66
rock,1982,73
rock,1983,94
rock,1984,108
rock,1985,111
rock,1986,75
rock,1987,114
rock,1988,71
rock,1989,56
rock,1990,46
rock,1991,80
rock,1992,39
rock,1993,51
rock,1994,58
rock,1995,48
rock,1996,35
rock,1997,80
rock,1998,72
rock,1999,67
rock,2000,68
rock,2001,94
rock,2002,59
rock,2003,72
rock,2004,99
rock,2005,176
rock,2006,101
rock,2007,115
rock,2008,142
rock,2009,88
rock,2010,120
rock,2011,97
rock,2012,63
rock,2013,84
rock,2014,105
rock,2015,79
rock,2016,77
rock,2017,116
rock,2018,129
rock,2019,577
rock,2020,48
